itemId,model,title,price,rating,brandName,itemUrl
2416260,MB2720,"Canon MAXIFY MB2720 0958C002 USB, Wireless, Network Ready Color Inkjet All-In-One Printer",$179.99,4.0,Canon,https://www.staples.com/Canon-MAXIFY-MB2720-Wireless-All-in-One-Color-InkJet-Printer-0958C002/product_2416260
24358198,B11B228201R,Epson ES-500WR Wireless Duplex Receipt & Document Scanner with Accounting Software,$499.99,4.5,Epson,https://www.staples.com/workforce-es-500wr-b11b228201wr-wireless-document-scanner-accounting-edition/product_24358198
24359617,TS6220 BLACK,"Canon PIXMA TS6220 Wireless Color Inkjet All-In-One Printer, Black",$49.99,4.0,Canon,https://www.staples.com/canon-pixma-ts6220-wireless-color-inkjet-all-in-one-printer-black/product_24359617
2741268,C11CF28201,Epson Expression Home XP-340 Small-in-One C11CF28201 USB & Wireless Color Inkjet Print-Scan-Copy Printer,$49.99,4.0,Epson,https://www.staples.com/EPSON-EXPRESSION-XP-340-AIO/product_2741268
2536522,C11CF47201,Epson EcoTank ET-2650 Wireless Multifunction Color Inkjet Printer (C11CF47201),$279.99,4.0,Epson,https://www.staples.com/The-Expression-ET-2650-EcoTank-All-in-One/product_2536522
24420659,6HF11A#B1H,HP Smart Tank Plus 551 Wireless Color Inkjet All-in-One Printer,$399.89,4.0,HP,https://www.staples.com/hp-smart-tank-plus-551-wireless-color-inkjet-all-in-one-printer/product_24420659
24393729,C11CG21202,"Epson EcoTank ET-3710 Wireless Color Inkjet All-In-One Supertank Printer, White",$379.99,4.5,Epson,https://www.staples.com/epson-ecotank-et-3710-wireless-color-inkjet-all-in-one-supertank-printer-white/product_24393729
24316730,G4210,Canon PIXMA G4210 All-in-One Color Inkjet MegaTank Printer (G4210),$299.99,3.5,Canon,https://www.staples.com/canon-pixma-g4210/product_24316730
966808,8746B002,Canon PIXMA iP8720 8746B002 USB & Wireless Color Inkjet Print Only Printer,$279.99,4.0,Canon,https://www.staples.com/Canon-Pixma-iP8720-Color-Inkjet-Wireless-Photo-Printer-New-8746B002/product_966808
1893049,C5F93A#BGJ,"HP LaserJet Pro M402n USB & Network Ready Monochrome Laser Printer with Built-In Ethernet, White (C5F93A#BGJ)",$269.99,4.5,HP,https://www.staples.com/HP-LaserJet-Pro-M402n-Laser-Printer/product_1893049
